id,Price
747,2237695.9205540717
962,1665847.9074860597
1105,2207907.798517665
795,4365055.806022705
390,2648547.4796160487
1302,1644812.0708159758
1448,2607695.3432451077
1388,3120945.666790463
126,978474.4340443844
1605,2713324.048169001
870,2298422.2104370836
701,1238028.0903177084
1239,3913434.9895421276
1201,5354536.484326604
685,1850456.0582778296
427,2190850.070146229
168,638915.9155896464
1181,4147025.938097113
1428,2283366.2062598607
347,2583086.4892786965
1385,1604243.5931769516
220,1627462.6905457703
125,3060502.250501385
197,1985616.5816377345
1108,2391802.5177829424
1166,3318230.3159617838
871,4129788.5926779537
1544,2226320.7957906593
513,2863999.7964787977
1431,2822753.274054518
194,3105848.4123032177
1401,2241369.1635509264
509,2667662.467308144
381,4842920.756989581
361,2297064.5284716906
1254,2594435.9566529933
609,910365.6309426278
349,3753997.13960909
1067,3095560.236964803
970,3333662.337242675
1062,2216629.317628243
301,4195376.062696065
593,4436650.0998217845
1491,2281104.1925746715
652,2176161.876033942
1262,2462730.1956617935
1459,3315868.6716201864
1089,1376927.9950675126
436,3467828.043237116
259,2190452.680172707
1566,3024130.461721273
499,2140041.991267301
943,5037254.149306043
316,2878183.143221802
1123,1951852.9995065918
1185,1610091.0683889156
158,839534.5524726156
817,1212865.5050563673
1380,4184306.3724032724
829,2830908.672200664
1326,2944410.090410943
1390,2990679.2847968554
1514,2648895.212172701
1444,2962114.7210760955
763,2239234.031756445
680,2847274.2045111414
337,1518502.2014564462
20,4130028.4741792725
413,2365611.8491197396
515,2072476.3124427227
18,4213512.559305293
1513,2127077.894996064
544,2860984.6951717576
136,3693765.467727011
93,1467874.253237877
1581,2185137.4108416587
1571,2257316.3895665538
1356,1736684.8929346837
1387,2270278.2060560826
1432,2762149.644852492
1226,2357838.644594535
600,2483604.8742818898
846,540891.8023224492
872,2065177.0865302673
1183,959107.245361615
1599,4210764.136497232
1129,895961.2107982682
1402,2610044.195365619
1242,2445120.7966861185
890,6185126.231625362
1046,3097878.3903455194
638,2528201.9225752736
134,3520168.7441994026
794,2989052.3516491186
333,2468012.9312430834
1408,718735.4769536639
1120,2032334.3863186399
1072,1411184.936272134
692,972603.7151822196
1261,3626553.2988886125
1469,2181405.5025304537
510,2903031.662090732
786,2124146.810129354
1165,2953784.6003875174
204,1022803.8348586373
602,4151964.5726774884
269,4173449.6839857856
1306,2856944.544371946
551,1828720.4831982395
113,1685947.7801746894
1142,3278079.5257918416
514,2899286.784568039
1282,2723109.639608251
952,3217160.763316185
1265,2864535.1043887213
1503,3009953.027109161
1389,4204650.138918814
956,2949151.7117053363
497,2735450.956928624
589,4178116.5616078516
1498,4275760.615410796
