id,Response
151069,0
460048,0
362380,0
191116,0
422660,0
263755,0
137848,0
299065,0
161381,0
52806,0
211928,0
170332,0
334579,0
72158,0
130087,0
340023,0
133417,0
391456,0
116032,0
286302,0
16921,0
206398,0
198782,0
429732,0
125165,0
183674,0
142651,0
389569,0
13905,0
177938,0
311226,0
240065,0
332036,0
338826,0
370905,0
249910,0
249107,0
95336,0
464962,0
336451,0
230368,0
271828,0
334261,0
265709,0
368466,0
493440,0
95298,0
391121,0
234926,0
306049,0
169820,0
349659,0
207201,0
499246,0
26039,0
279582,0
331520,0
257819,0
121597,0
133630,0
67415,0
200464,0
220243,0
426804,0
96259,0
122791,0
88073,0
40187,0
505050,0
281103,0
326541,0
93799,0
156353,0
407619,0
79516,0
2805,0
77738,0
183749,0
256010,0
341636,0
286622,0
320902,0
219636,0
136799,0
225956,0
370324,0
281527,0
164736,0
386068,0
322774,0
205195,0
491522,0
484734,0
175775,0
496771,0
166949,0
131558,0
359725,0
344540,0
180740,0
320438,0
413271,0
289557,0
111499,0
148237,0
434193,0
72949,0
322901,0
377434,0
188333,0
230197,0
427246,0
386653,0
174731,0
82690,0
85984,0
164913,0
345274,0
204832,0
220129,0
55883,0
175834,0
168450,0
443425,0
130605,0
204529,0
181501,0
433671,0
347826,0
98278,0
410711,0
42204,0
261937,0
289302,0
19801,0
470862,0
35221,0
84249,0
399124,0
98966,0
67740,0
290239,0
89205,0
482526,0
367066,0
235007,0
16236,0
51823,0
345968,0
50742,0
37419,0
146101,0
359943,0
456341,0
286454,0
334751,0
251701,0
217099,0
454022,0
354600,0
314922,0
222608,0
370315,0
16122,0
25311,0
141994,0
301403,0
351419,0
48429,0
306061,0
350669,0
366244,0
461221,0
147509,0
20304,0
246871,0
64293,0
256913,0
373033,0
224531,0
16184,0
120399,0
249828,0
79734,0
18370,0
288503,0
244651,0
180686,0
274234,0
134833,0
215500,0
456659,0
92364,0
362564,0
383001,0
142472,0
375933,0
122094,0
240361,0
228139,0
186661,0
223405,0
122149,0
227498,0
88629,0
83783,0
254583,0
134471,0
73430,0
456046,0
230445,0
431317,0
14704,0
110795,0
35758,0
132580,0
175303,0
161602,0
196210,0
435247,0
445730,0
66077,0
286227,0
462940,0
62367,0
324916,0
402415,0
17466,0
209490,0
495192,0
364115,0
32770,0
135398,0
87599,0
169052,0
69362,0
42279,0
221352,0
493530,0
340678,0
2045,0
243360,0
158725,0
302933,0
449957,0
81525,0
349445,0
36789,0
426976,0
362599,0
112127,0
402141,0
13156,0
254770,0
131081,0
40206,0
201508,0
280484,0
355609,0
466505,0
424464,0
67742,0
222793,0
157609,0
4947,0
421662,0
19076,0
445114,0
301392,0
371711,0
421951,0
25888,0
404292,0
79490,0
261089,0
36539,0
208784,0
238822,0
121435,0
65069,0
274519,0
380938,0
136331,0
94426,0
229829,0
362907,0
379705,0
418810,0
325384,0
109685,0
283830,0
207809,0
429651,0
136690,0
284863,0
399172,0
159611,0
98895,0
24150,0
352076,0
121104,0
32046,0
109752,0
173654,0
140755,0
201572,0
96802,0
66215,0
256627,0
214776,0
328880,0
63525,0
79646,0
231310,0
296248,0
167682,0
406433,0
437789,0
51293,0
135311,0
55944,0
209050,0
186000,0
32908,0
503840,0
278929,0
206786,0
71284,0
472022,0
11694,0
137116,0
104872,0
77992,0
274461,0
122679,0
410466,0
373748,0
89119,0
106783,0
220961,0
371829,0
219635,0
159003,0
325951,0
284353,0
392243,0
233737,0
137245,0
380684,0
339547,0
477036,0
200572,0
172331,0
312429,0
113149,0
48782,0
53190,0
141662,0
89671,0
468987,0
135851,0
232079,0
271873,0
200742,0
223941,0
126611,0
54080,0
84685,0
25051,0
334310,0
64075,0
342732,0
233136,0
365384,0
273812,0
499178,0
272950,0
277021,0
326755,0
90155,0
414708,0
113616,0
243634,0
323554,0
268639,0
430221,0
285147,0
278827,0
41133,0
147896,0
292079,0
343713,0
164026,0
140474,0
341315,0
120819,0
387666,0
126224,0
231618,0
263486,0
202145,0
131851,0
393415,0
309755,0
306004,0
185438,0
137283,0
258093,0
208978,0
377328,0
114780,0
300846,0
270086,0
287639,0
484364,0
124325,0
359687,0
172164,0
145968,0
308253,0
378473,0
207097,0
370457,0
225945,0
357849,0
341091,0
356231,0
471601,0
78069,0
190389,0
386261,0
205267,0
303837,0
275701,0
307294,0
175932,0
163453,0
288952,0
67126,0
393582,0
273922,0
334763,0
191191,0
47763,0
271649,0
150561,0
239150,0
254363,0
316546,0
505214,0
213915,0
24074,0
87312,0
24313,0
117459,0
404679,0
5398,0
330985,0
175857,0
353122,0
320993,0
136798,0
184853,0
321894,0
271265,0
141556,0
254187,0
43313,0
339528,0
269512,0
500970,0
450092,0
498814,0
25503,0
159187,0
242771,0
339665,0
75540,0
470973,0
4843,0
235066,0
477604,0
344700,0
189335,0
168914,0
50925,0
278793,0
365735,0
21280,0
24991,0
446969,0
24560,0
180184,0
392976,0
263651,0
173052,0
309472,0
142319,0
197677,0
248276,0
427843,0
234894,0
249682,0
290301,0
227012,0
29520,0
174682,0
321793,0
266368,0
112312,0
147476,0
193771,0
292763,0
372353,0
367981,0
141377,0
75004,0
126937,0
276111,0
405635,0
180802,0
124612,0
356057,0
388082,0
250744,0
456981,0
441987,0
263897,0
437270,0
340842,0
296505,0
266379,0
343200,0
69281,0
358249,0
31866,0
325082,0
35995,0
462787,0
157702,0
25309,0
93646,0
414396,0
369741,0
47698,0
473348,0
466684,0
458811,0
41350,0
30085,0
95114,0
187134,0
338397,0
398895,0
237611,0
251881,0
182516,0
151595,0
38945,0
507874,0
393339,0
239246,0
105399,0
460509,0
336717,0
354,0
251730,0
268387,0
24610,0
500559,0
33154,0
358154,0
257491,0
250879,0
443955,0
264447,0
107712,0
272477,0
291584,0
332540,0
201725,0
181792,0
17499,0
104664,0
144610,0
172105,0
357946,0
140236,0
56457,0
107613,0
221810,0
106176,0
80859,0
123874,0
194403,0
501458,0
238941,0
468797,0
237200,0
173204,0
19901,0
117784,0
257796,0
287889,0
160509,0
301215,0
21192,0
344562,0
185897,0
151360,0
304812,0
1146,0
71126,0
172609,0
31290,0
138976,0
325831,0
310585,0
151582,0
61381,0
112119,0
242913,0
212956,0
368281,0
141979,0
360633,0
230691,0
65949,0
362671,0
172709,0
112645,0
85868,0
432566,0
500968,0
184261,0
127988,0
48430,0
436159,0
450418,0
91470,0
352231,0
148624,0
286776,0
246689,0
177186,0
209206,0
20804,0
198290,0
294969,0
203169,0
414213,0
191281,0
200243,0
299093,0
347593,0
116262,0
186846,0
266631,0
418565,0
501890,0
17115,0
399815,0
17899,0
178020,0
161937,0
237979,0
471834,0
15973,0
111817,0
322492,0
132353,0
86846,0
286349,0
503364,0
359915,0
355816,0
89042,0
103448,0
291334,0
132374,0
254473,0
326558,0
175340,0
367400,0
38384,0
142513,0
200586,0
285942,0
176481,0
224028,0
440303,0
107996,0
138408,0
134369,0
15380,0
1350,0
374111,0
431635,0
150569,0
75657,0
30250,0
6531,0
375481,0
459084,0
310014,0
126637,0
151546,0
343731,0
14952,0
436597,0
352851,0
394590,0
19757,0
332537,0
341029,0
207509,0
413319,0
251237,0
290928,0
173844,0
11208,0
189964,0
290650,0
290859,0
497558,0
132602,0
412952,0
184003,0
311279,0
418186,0
505499,0
234234,0
46525,0
507454,0
217639,0
153392,0
435305,0
130745,0
134681,0
107527,0
80873,0
407861,0
166069,0
412810,0
502986,0
232568,0
28020,0
75257,0
293554,0
503702,0
418703,0
193999,0
86209,0
174920,0
282465,0
471759,0
254270,0
108235,0
102174,0
237929,0
136522,0
402396,0
432390,0
491416,0
282490,0
218425,0
38735,0
196620,0
189420,0
476279,0
175584,0
410079,0
501438,0
439442,0
408098,0
262671,0
39547,0
279084,0
305464,0
2552,0
